name,B_hs_engaged,C_hs_engaged,all_hs_engaged,iplddt,pae,pde
binder00001_CD20_46-217,0.7209302325581395,0.2093023255813953,0.4651162790697674,0.7852176275195145,21.049206127521963,14.706503910574352
binder00002_CD20_46-217,0.7674418604651163,0.1860465116279069,0.4767441860465116,0.7716166851032211,16.95017291392599,12.063304347651345
binder00003_CD20_46-217,0.1860465116279069,0.6976744186046512,0.4418604651162791,0.6979618155503575,17.462615124676205,12.523461309048011
binder00004_CD20_46-217,0.6744186046511628,0.2325581395348837,0.4534883720930232,0.7841898115669809,18.2049298151302,13.090707941093909
binder00005_CD20_46-217,0.5581395348837209,0.2325581395348837,0.3953488372093023,0.7496041384610262,16.1797709094428,11.40231840104019
binder00006_CD20_46-217,0.6744186046511628,0.2093023255813953,0.4418604651162791,0.7994426018755201,18.96605990541742,13.30658348316842
binder00007_CD20_46-217,0.5813953488372093,0.1627906976744186,0.3720930232558139,0.7348432614253118,19.58609722867424,13.844519632833975
binder00008_CD20_46-217,0.2558139534883721,0.627906976744186,0.4418604651162791,0.8210905919592064,17.157121895754486,11.881262482449229
binder00009_CD20_46-217,0.2790697674418604,0.5348837209302325,0.4069767441860465,0.6864104726248317,20.32599623998006,14.761535835266113
binder00010_CD20_46-217,0.2558139534883721,0.6744186046511628,0.4651162790697674,0.8094782792031765,6.419134593779041,4.082176819924386
binder00011_CD20_46-217,0.4651162790697674,0.2325581395348837,0.3488372093023256,0.7555103692852083,19.44185932358699,14.137352979005271
binder00012_CD20_46-217,0.6744186046511628,0.2325581395348837,0.4534883720930232,0.783815974467679,16.205999072800335,11.202655845218237
binder00013_CD20_46-217,0.2325581395348837,0.6976744186046512,0.4651162790697674,0.7646206890244082,17.888823398590088,12.983728649139405
binder00014_CD20_46-217,0.6046511627906976,0.2325581395348837,0.4186046511627907,0.7563122951272708,18.647645210195904,13.79842130976952
binder00015_CD20_46-217,0.7209302325581395,0.2325581395348837,0.4767441860465116,0.7165545384089153,16.64609420905679,12.33073218394134
binder00016_CD20_46-217,0.2325581395348837,0.6046511627906976,0.4186046511627907,0.7469640245308747,20.34386347072981,14.791662307012649
binder00017_CD20_46-217,0.7441860465116279,0.1395348837209302,0.4418604651162791,0.8666997043291728,13.027126865386965,8.667277998924256
binder00018_CD20_46-217,0.4651162790697674,0.2325581395348837,0.3488372093023256,0.7791146375238895,16.62822276246762,11.652342824878806
binder00019_CD20_46-217,0.5116279069767442,0.2558139534883721,0.3837209302325581,0.751151532928149,16.197150648075297,11.431260279495351
binder00020_CD20_46-217,0.627906976744186,0.1627906976744186,0.3953488372093023,0.7082426313197974,17.028585694526715,12.411656687168476
binder00021_CD20_46-217,0.0697674418604651,0.6976744186046512,0.3837209302325581,0.8174309611320496,18.23511711359024,12.73963205575943
binder00022_CD20_46-217,0.7209302325581395,0.0930232558139534,0.4069767441860465,0.861853843761815,19.214793755276368,13.692976526694723
binder00023_CD20_46-217,0.4186046511627907,0.2558139534883721,0.3372093023255814,0.7621553889636336,20.621506904153264,15.077596905652214
binder00024_CD20_46-217,0.1627906976744186,0.5116279069767442,0.3372093023255814,0.8396218478679657,21.020203000620796,15.206944076638472
binder00025_CD20_46-217,0.6976744186046512,0.1395348837209302,0.4186046511627907,0.8004352311565451,16.938796894524685,12.01235254349247
binder00026_CD20_46-217,0.1627906976744186,0.6976744186046512,0.4302325581395348,0.8427852778821379,17.186690802667655,12.146349177641028
binder00027_CD20_46-217,0.0,0.3488372093023256,0.1744186046511628,0.7756358930405151,12.757738556448867,8.726656260452872
binder00028_CD20_46-217,0.1162790697674418,0.7441860465116279,0.4302325581395348,0.8497340767770201,15.11939395732017,10.435968957354676
binder00029_CD20_46-217,0.2093023255813953,0.7441860465116279,0.4767441860465116,0.7602199701926647,19.553585562212717,13.860283210359771
binder00030_CD20_46-217,0.3720930232558139,0.0232558139534883,0.1976744186046511,0.8622017949819565,16.438457981923992,10.854128253593874
binder00031_CD20_46-217,0.2093023255813953,0.627906976744186,0.4186046511627907,0.8347929788602365,15.71893301154628,10.969743037464642
binder00032_CD20_46-217,0.7441860465116279,0.1395348837209302,0.4418604651162791,0.8057322564063134,18.629031383565493,13.111047233854022
binder00033_CD20_46-217,0.6976744186046512,0.1162790697674418,0.4069767441860465,0.8633582138679397,19.95867829727677,13.97688411766628
binder00034_CD20_46-217,0.5348837209302325,0.1395348837209302,0.3372093023255814,0.8489587296873836,18.519701923397804,13.560759612982222
binder00035_CD20_46-217,0.0232558139534883,0.5348837209302325,0.2790697674418604,0.8090386997569691,21.331712646760803,15.63125443113023
binder00036_CD20_46-217,0.1395348837209302,0.627906976744186,0.3837209302325581,0.836032913011663,18.05940494835377,12.773987182974816
binder00037_CD20_46-217,0.6744186046511628,0.1860465116279069,0.4302325581395348,0.844050387541453,17.53359462435429,12.37692957658034
binder00038_CD20_46-217,0.6046511627906976,0.1395348837209302,0.3720930232558139,0.8254984681422893,17.161880806953675,12.213904350034651
binder00039_CD20_46-217,0.627906976744186,0.1627906976744186,0.3953488372093023,0.8230796095096704,18.839784053869025,13.413910993309909
binder00040_CD20_46-217,0.1162790697674418,0.6744186046511628,0.3953488372093023,0.8523925942917393,18.42584192333509,12.9327899223596
binder00041_CD20_46-217,0.6046511627906976,0.1627906976744186,0.3837209302325581,0.8006226677033637,14.093667675777034,9.52471648527114
binder00042_CD20_46-217,0.6976744186046512,0.1860465116279069,0.4418604651162791,0.8708657682696476,18.50722358998469,13.139444079376071
binder00043_CD20_46-217,0.6976744186046512,0.1395348837209302,0.4186046511627907,0.8069863759953043,12.832372821745324,8.999421179620295
binder00044_CD20_46-217,0.1162790697674418,0.7906976744186046,0.4534883720930232,0.8131944192083258,17.639602915445963,12.232762160831028
binder00045_CD20_46-217,0.7441860465116279,0.1860465116279069,0.4651162790697674,0.7963663165162249,16.52808081841154,11.414266149378031
binder00046_CD20_46-217,0.5581395348837209,0.2325581395348837,0.3953488372093023,0.8077614409582955,18.488843701351648,13.146408185191538
binder00047_CD20_46-217,0.6976744186046512,0.2325581395348837,0.4651162790697674,0.8129850338740521,19.138026706507947,13.02344720480872
binder00048_CD20_46-217,0.1860465116279069,0.7441860465116279,0.4651162790697674,0.7936037152241437,19.68809431641545,14.492297608648713
binder00049_CD20_46-217,0.1860465116279069,0.5116279069767442,0.3488372093023256,0.8232622060083574,17.311952670970996,12.287913095700992
binder00050_CD20_46-217,0.5581395348837209,0.2558139534883721,0.4069767441860465,0.8500985360145569,15.095764298497894,10.506728690347554
binder00051_CD20_46-217,0.5348837209302325,0.1162790697674418,0.3255813953488372,0.8253885966080886,12.876558591050712,8.720884571298521
binder00052_CD20_46-217,0.6744186046511628,0.2325581395348837,0.4534883720930232,0.8489096017531407,16.70766822532688,11.804907033261696
binder00053_CD20_46-217,0.1627906976744186,0.6744186046511628,0.4186046511627907,0.8288482368831903,17.051669801633384,12.066905272375678
binder00054_CD20_46-217,0.1162790697674418,0.6976744186046512,0.4069767441860465,0.8450209147309604,16.330387242789406,11.148655104405671
binder00055_CD20_46-217,0.5813953488372093,0.2325581395348837,0.4069767441860465,0.7880423316588768,16.847425592573064,11.672025191156488
binder00056_CD20_46-217,0.6511627906976745,0.1627906976744186,0.4069767441860465,0.8413909052099501,16.814320676613853,12.057731578487376
