global_id,seq_group,max_pident_within_team,max_pident_cross_team
1,Antigeniuses,0.958,0.624
2,Antigeniuses,0.96,0.624
3,Antigeniuses,0.971,0.631
4,Antigeniuses,0.96,0.617
5,Antigeniuses,0.872,0.624
6,Antigeniuses,0.828,0.631
7,Antigeniuses,0.9,0.0
8,Antigeniuses,0.9,0.617
9,Antigeniuses,0.976,0.0
10,Antigeniuses,0.956,0.0
11,Antigeniuses,0.8859999999999999,0.617
12,Antigeniuses,0.9390000000000001,0.617
13,Antigeniuses,0.897,0.624
14,Antigeniuses,0.9490000000000001,0.631
15,Antigeniuses,0.9890000000000001,0.0
16,Antigeniuses,0.9229999999999999,0.617
17,Antigeniuses,0.9159999999999999,0.0
18,Antigeniuses,0.92,0.0
19,Antigeniuses,0.818,0.624
20,Antigeniuses,0.825,0.545
21,Antigeniuses,0.9129999999999999,0.0
22,Antigeniuses,0.902,0.0
23,Antigeniuses,0.8909999999999999,0.0
24,Antigeniuses,0.932,0.0
25,Antigeniuses,0.9440000000000001,0.0
26,Antigeniuses,0.94,0.0
27,Antigeniuses,0.924,0.0
28,Antigeniuses,0.951,0.0
29,Antigeniuses,0.958,0.0
30,Antigeniuses,0.9059999999999999,0.0
31,Antigeniuses,0.927,0.0
32,Antigeniuses,0.92,0.0
33,Antigeniuses,0.9209999999999999,0.0
34,Antigeniuses,0.9279999999999999,0.0
35,Antigeniuses,0.917,0.0
36,Antigeniuses,0.903,0.0
37,Antigeniuses,0.9009999999999999,0.0
38,Antigeniuses,0.92,0.0
39,Antigeniuses,0.912,0.0
40,Antigeniuses,0.922,0.0
41,Antigeniuses,0.9059999999999999,0.0
42,Antigeniuses,0.91,0.0
43,Antigeniuses,0.9209999999999999,0.0
44,Antigeniuses,0.9159999999999999,0.0
45,Antigeniuses,0.91,0.0
46,Antigeniuses,0.899,0.0
47,Antigeniuses,0.935,0.0
48,Antigeniuses,0.9329999999999999,0.0
49,Antigeniuses,0.9540000000000001,0.0
50,Antigeniuses,0.965,0.0
51,Antigeniuses,0.9259999999999999,0.0
52,Antigeniuses,0.9390000000000001,0.0
53,Antigeniuses,0.922,0.0
54,Antigeniuses,0.9420000000000001,0.0
55,Antigeniuses,0.9079999999999999,0.0
56,Antigeniuses,0.897,0.0
57,Antigeniuses,0.965,0.0
58,Antigeniuses,0.9670000000000001,0.0
59,Antigeniuses,0.937,0.0
60,Antigeniuses,0.9229999999999999,0.0
61,Antigeniuses,0.929,0.0
62,Antigeniuses,0.9440000000000001,0.0
63,Antigeniuses,0.89,0.0
64,Antigeniuses,0.912,0.0
65,Antigeniuses,0.929,0.0
66,Antigeniuses,0.912,0.0
67,Antigeniuses,0.914,0.0
68,Antigeniuses,0.9329999999999999,0.0
69,Antigeniuses,0.946,0.0
70,Antigeniuses,0.9159999999999999,0.0
71,Antigeniuses,0.9309999999999999,0.0
72,Antigeniuses,0.937,0.0
73,Antigeniuses,0.924,0.0
74,Antigeniuses,0.9209999999999999,0.0
75,Antigeniuses,0.946,0.0
76,Antigeniuses,0.9329999999999999,0.0
77,Antigeniuses,0.925,0.0
78,Antigeniuses,0.929,0.0
79,Antigeniuses,0.935,0.0
80,Antigeniuses,0.929,0.0
81,Antigeniuses,0.872,0.0
82,Antigeniuses,0.889,0.0
83,Antigeniuses,0.912,0.0
84,Antigeniuses,0.902,0.0
85,Antigeniuses,0.912,0.0
86,Antigeniuses,0.9209999999999999,0.0
87,Antigeniuses,0.946,0.0
88,Antigeniuses,0.937,0.0
89,Antigeniuses,0.95,0.0
90,Antigeniuses,0.9540000000000001,0.0
91,Antigeniuses,0.8909999999999999,0.0
92,Antigeniuses,0.929,0.0
93,Antigeniuses,0.902,0.0
94,Antigeniuses,0.903,0.0
95,Antigeniuses,0.914,0.0
96,Antigeniuses,0.953,0.0
97,Antigeniuses,0.9209999999999999,0.0
98,Antigeniuses,0.9420000000000001,0.0
99,Antigeniuses,0.965,0.0
100,Antigeniuses,0.9540000000000001,0.0
101,Antigeniuses,0.9440000000000001,0.97
102,Antigeniuses,0.9390000000000001,0.956
103,Antigeniuses,0.9309999999999999,0.97
104,Antigeniuses,0.929,0.97
105,Antigeniuses,0.9229999999999999,0.978
106,Antigeniuses,0.919,0.978
107,Antigeniuses,0.816,0.97
108,Antigeniuses,0.81,0.956
109,Antigeniuses,0.843,0.97
110,Antigeniuses,0.8440000000000001,0.914
111,Antigeniuses,0.833,0.963
112,Antigeniuses,0.8859999999999999,0.97
113,Antigeniuses,0.8029999999999999,0.956
114,Antigeniuses,0.8220000000000001,0.978
115,Antigeniuses,0.812,0.956
116,Antigeniuses,0.833,0.963
117,Antigeniuses,0.878,0.963
118,Antigeniuses,0.8909999999999999,0.97
119,Antigeniuses,0.91,0.97
120,Antigeniuses,0.91,0.978
121,Antigeniuses,0.9420000000000001,0.963
122,Antigeniuses,0.9420000000000001,0.963
123,Antigeniuses,0.8809999999999999,0.978
124,Antigeniuses,0.9,0.978
125,Antigeniuses,0.858,0.97
