193	Ofatumumab	62.600	67	0.837	0.318	2.605E-22	79
193	ocrelizumab	50.000	78	0.962	0.366	1.616E-20	74
193	Ibritumomab	44.800	78	0.962	0.373	4.547E-17	64
193	Mouse-Human	44.800	78	0.962	0.371	4.547E-17	64
193	Rituximab	46.800	79	0.913	0.371	8.585E-17	64
193	Ublituximab	43.500	78	0.962	0.366	1.621E-16	63
193	8932_L|veltuzumab|Humanized||L-KAPPA	44.300	79	0.913	0.371	5.782E-16	61
257	Ofatumumab	66.100	62	0.775	0.289	1.176E-20	75
257	ocrelizumab	52.200	67	0.837	0.305	3.309E-17	65
257	Ublituximab	50.000	72	0.900	0.329	1.621E-16	63
257	8932_L|veltuzumab|Humanized||L-KAPPA	46.600	75	0.938	0.343	4.207E-16	62
257	Ibritumomab	48.600	72	0.900	0.335	1.501E-15	60
257	Mouse-Human	48.600	72	0.900	0.333	1.501E-15	60
257	Rituximab	46.600	75	0.938	0.343	1.501E-15	60
385	Ofatumumab	78.500	56	0.700	0.261	2.230E-24	85
385	ocrelizumab	53.200	75	0.887	0.352	2.405E-21	77
385	Ibritumomab	51.900	75	0.887	0.359	3.050E-20	74
385	Mouse-Human	51.900	75	0.887	0.357	3.050E-20	74
385	Ublituximab	50.600	75	0.887	0.352	1.087E-19	72
385	Rituximab	50.600	75	0.887	0.352	7.308E-19	70
385	8932_L|veltuzumab|Humanized||L-KAPPA	48.000	75	0.887	0.352	6.755E-18	67
801	Ofatumumab	37.300	67	0.812	0.302	1.770E-13	54
801	ocrelizumab	38.700	79	0.975	0.175	4.595E-13	53
93	Ofatumumab	59.200	76	0.875	0.360	5.328E-23	81
93	ocrelizumab	47.300	76	0.887	0.357	5.757E-20	73
93	Rituximab	44.700	76	0.887	0.357	3.578E-18	68
93	Ibritumomab	43.400	76	0.887	0.364	4.916E-18	67
93	Mouse-Human	43.400	76	0.887	0.362	4.916E-18	67
93	8932_L|veltuzumab|Humanized||L-KAPPA	44.700	76	0.887	0.357	9.282E-18	66
93	Ublituximab	42.100	76	0.887	0.357	2.408E-17	65
317	Ofatumumab	65.600	63	0.725	0.299	1.616E-20	74
317	ocrelizumab	50.000	76	0.875	0.357	1.895E-18	68
